# Mix output version 10
# Intel(R) SDE version: 8.50.0 external
# Starting tid 1,  OS-TID 2392
# FINI: end of program

# EMIT_IMAGE_ADDRESSES 
# 
#    IMAGE NAME                                                                              LOW ADDRESS   HIGH ADDRESS  
# 
C:\Windows\system32\kernel32.dll                                                             000077330000  00007744efff
C:\Windows\system32\USER32.dll                                                               000077450000  000077549fff
C:\Windows\SYSTEM32\ntdll.dll                                                                000077550000  0000776eefff
C:\Windows\system32\rundll32.exe                                                             0000ffe00000  0000ffe0ffff
C:\Windows\system32\dwmapi.dll                                                               07fefb660000  07fefb677fff
C:\Windows\system32\uxtheme.dll                                                              07fefba90000  07fefbae5fff
C:\Windows\system32\PROPSYS.dll                                                              07fefbaf0000  07fefbc1bfff
C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_fa3b1e3d17594757\comctl32.dll   07fefbe10000  07fefc003fff
C:\Windows\system32\CRYPTBASE.dll                                                            07fefd080000  07fefd08efff
C:\Windows\system32\KERNELBASE.dll                                                           07fefd570000  07fefd5d9fff
C:\Windows\system32\SHLWAPI.dll                                                              07fefd5e0000  07fefd650fff
C:\Windows\system32\RPCRT4.dll                                                               07fefd660000  07fefd78bfff
C:\Windows\system32\MSCTF.dll                                                                07fefd790000  07fefd898fff
C:\Windows\system32\USP10.dll                                                                07fefd8a0000  07fefd96afff
C:\Windows\system32\GDI32.dll                                                                07fefdb50000  07fefdbb6fff
C:\Windows\system32\LPK.dll                                                                  07fefe020000  07fefe02dfff
C:\Windows\system32\msvcrt.dll                                                               07fefe030000  07fefe0cefff
C:\Windows\system32\OLEAUT32.dll                                                             07fefe0d0000  07fefe1a9fff
C:\Windows\system32\ADVAPI32.dll                                                             07fefe1b0000  07fefe28afff
C:\Windows\system32\shell32.dll                                                              07fefe2a0000  07feff029fff
C:\Windows\system32\imagehlp.dll                                                             07feff0d0000  07feff0e8fff
C:\Windows\system32\ole32.dll                                                                07feff0f0000  07feff2ebfff
C:\Windows\system32\IMM32.DLL                                                                07feff2f0000  07feff31dfff
C:\Windows\SYSTEM32\sechost.dll                                                              07feff320000  07feff33efff
# END_IMAGE_ADDRESSES

# ==============================================
# STATS FOR TID 1  OS-TID  2392 EMIT# 1
# ==============================================
# EMIT_TOP_BLOCK_STATS FOR TID 1  OS-TID 2392 EMIT # 1 EVENT=ICOUNT
BLOCK:     0   PC: 000000007757a1c0   ICOUNT:      3965   EXECUTIONS:       305   #BYTES: 33   %: 0.978   cumltv%: 0.978  FN: RtlFreeHeap  IMG: C:\Windows\SYSTEM32\ntdll.dll  OFFSET: 2a1c0
*two-memops                                                            8
*cond-branch-forward                                                  65
*disp_only                                                             2
*base_only                                                            67
*base_disp                                                           105
*base_index_disp                                                       5
*scale_1                                                             193
*scale_8                                                               5
*memdisp8                                                             77
*memdisp32                                                            54
ADD                                                                    9
AND                                                                   16
BT                                                                     5
CALL_NEAR                                                             24
CMP                                                                   43
JB                                                                     5
JMP                                                                    9
JNZ                                                                   33
JZ                                                                    27
LEA                                                                   19
MOV                                                                  154
OR                                                                     2
POP                                                                   19
PUSH                                                                  19
RET_NEAR                                                              13
SHL                                                                    2
SUB                                                                   11
SYSCALL                                                                2
TEST                                                                  17
XOR                                                                    7
*total                                                               436
#
# $dynamic-counts-for-function: GetLayout  IMG: C:\Windows\system32\GDI32.dll at [0x7fefdb52710, 0x7fefdb527ac)   0.107%
#
# TID 1
#       opcode                 count
#
*stack-read                                                           16
*iprel-read                                                           32
*mem-read-1                                                           16
*mem-read-2                                                           16
*mem-read-4                                                           48
*mem-read-8                                                           48
*mem-write-4                                                          10
*mem-read                                                            128
*mem-write                                                            10
*mem                                                                 138
*isa-ext-BASE                                                        432
*isa-set-I186                                                         16
*isa-set-I386                                                         16
*isa-set-I86                                                         400
*category-BINARY                                                      82
*category-COND_BR                                                     98
*category-DATAXFER                                                   122
*category-LOGICAL                                                     64
*category-MISC                                                        16
*category-RET                                                         16
*category-SHIFT                                                       16
*category-UNCOND_BR                                                   18
*ilen-1                                                               16
*ilen-2                                                               50
*ilen-3                                                               72
*ilen-4                                                               48
*ilen-5                                                               82
*ilen-6                                                              130
*ilen-7                                                               34
*gpr64                                                                96
*legacy-prefixes-0                                                   256
*legacy-prefixes-1                                                   160
*legacy-prefixes-2                                                    16
*legacy-prefixes-and-escapes-0                                       158
*legacy-prefixes-and-escapes-1                                       258
*legacy-prefixes-and-escapes-2                                        16
*66_prefix                                                            16
*rex_prefix                                                          176
*rexw_prefix                                                          80
*rexr_prefix                                                          32
*rexb_prefix                                                          96
*loadop                                                               64
*one-memops                                                          138
*cond-branch-forward                                                  96
*cond-branch-backward                                                  2
*base_only                                                            16
*base_disp                                                            58
*base_index_disp                                                      64
*scale_1                                                              74
*scale_2                                                              16
*scale_8                                                              64
*memdisp8                                                             74
*memdisp32                                                            48
AND                                                                   32
CMP                                                                   82
JMP                                                                   18
JNB                                                                   16
JNZ                                                                   48
JZ                                                                    34
LEA                                                                   16
MOV                                                                  106
MOVZX                                                                 16
OR                                                                    16
RET_NEAR                                                              16
SHR                                                                   16
TEST                                                                  16
*total                                                               432
#
# $dynamic-counts-for-function: RtlFlsFree  IMG: C:\Windows\SYSTEM32\ntdll.dll at [0x0775683a0, 0x0775686c0)   0.103%
#
# TID 1
#       opcode                 count
#
*stack-read                                                           25
*stack-write                                                          34
*mem-read-2                                                           43
*mem-read-4                                                            1
*mem-read-8                                                           44
*mem-write-8                                                          36
*mem-read                                                             88
*mem-write                                                            36
*mem                                                                 124
*isa-ext-BASE                                                        417
*isa-set-I386                                                         44
*isa-set-I86                                                         373
*category-BINARY                                                     121
*category-CALL                                                        12
*category-COND_BR                                                     59
*category-DATAXFER                                                   145
*category-LOGICAL                                                     17
*category-MISC                                                        32
*category-POP                                                          3
*category-PUSH                                                         3
*category-RET                                                          3
*category-SHIFT                                                       22
*ilen-1                                                                6
*ilen-2                                                              107
*ilen-3                                                              132
*ilen-4                                                               57
*ilen-5                                                               57
*ilen-6                                                               39
*ilen-7                                                               17
*ilen-9                                                                2
*gpr64                                                               137
*legacy-prefixes-0                                                   223
*legacy-prefixes-1                                                   192
*legacy-prefixes-2                                                     2
*legacy-prefixes-and-escapes-0                                       147
*legacy-prefixes-and-escapes-1                                       268
*legacy-prefixes-and-escapes-2                                         2
*segment_prefix                                                        2
*66_prefix                                                            43
*rex_prefix                                                          151
*rexw_prefix                                                         116
*rexr_prefix                                                          55
*rexb_prefix                                                          20
*loadop                                                               44
*one-memops                                                          124
*cond-branch-forward                                                  37
*cond-branch-backward                                                 22
*disp_only                                                             2
*base_only                                                            66
*base_disp                                                            51
*base_index                                                            4
*base_index_disp                                                       1
*scale_1                                                             125
*scale_2                                                              21
*scale_8                                                              10
*memdisp8                                                             47
*memdisp32                                                            18
ADD                                                                   68
CALL_NEAR                                                             12
CMP                                                                   48
DIV                                                                    1
JNB                                                                   23
JNBE                                                                   1
JNZ                                                                   24
JZ                                                                    11
LEA                                                                   32
MOV                                                                  101
MOVZX                                                                 44
POP                                                                    3
PUSH                                                                   3
RET_NEAR                                                               3
SAR                                                                    1
SHR                                                                   21
SUB                                                                    4
TEST                                                                  11
XOR                                                                    6
*total                                                               417
#
# $dynamic-counts-for-function: InSendMessageEx  IMG: C:\Windows\system32\USER32.dll at [0x07745ca84, 0x07745cb30)   0.101%
#
# TID 1
#       opcode                 count
#
*stack-read                                                           35
*stack-write                                                         131
*iprel-read                                                           26
*iprel-write                                                          26
*mem-read-1                                                            5
*mem-read-4                                                           30
*mem-read-8                                                          161
*mem-write-4                                                          15
*mem-write-8                                                         116
*mem-read                                                            196
*mem-write                                                           131
*mem                                                                 256
*isa-ext-BASE                                                        411
*isa-set-I86                                                         411
*category-BINARY                                                      25
*category-CALL                                                        41
*category-COND_BR                                                     25
*category-DATAXFER                                                   190
*category-LOGICAL                                                     75
*category-MISC                                                        30
*category-PUSH                                                        15
*category-RET                                                          5
*category-UNCOND_BR                                                    5
*ilen-1                                                               20
*ilen-2                                                               25
*ilen-3                                                              130
*ilen-4                                                               85
*ilen-5                                                               75
*ilen-6                                                               51
*ilen-7                                                               20
*ilen-9                                                                5
*gpr64                                                               311
*legacy-prefixes-0                                                   131
*legacy-prefixes-1                                                   275
*legacy-prefixes-2                                                     5
*legacy-prefixes-and-escapes-0                                       121
*legacy-prefixes-and-escapes-1                                       285
*legacy-prefixes-and-escapes-2                                         5
*segment_prefix                                                        5
*rex_prefix                                                          280
*rexw_prefix                                                         250
*rexr_prefix                                                          45
*rexb_prefix                                                          30
*loadop                                                               55
*one-memops                                                          215
*two-memops                                                           41
*cond-branch-forward                                                  25
*disp_only                                                             5
*base_only                                                            55
*base_disp                                                           196
*scale_1                                                             286
*memdisp8                                                            180
*memdisp32                                                            51
ADD                                                                    5
AND                                                                   30
CALL_NEAR                                                             41
JMP                                                                    5
JNZ                                                                    5
JZ                                                                    20
LEA                                                                   30
MOV                                                                  190
PUSH                                                                  15
RET_NEAR                                                               5
SUB                                                                   20
TEST                                                                  25
XOR                                                                   20
*total                                                               411
#
# $dynamic-counts-for-function: RtlUpcaseUnicodeChar  IMG: C:\Windows\SYSTEM32\ntdll.dll at [0x077570440, 0x077570590)   0.101%
#
# TID 1
#       opcode                 count
#
*stack-read                                                           42
*stack-write                                                          38
*mem-read-2                                                           26
*mem-read-8                                                           44
*mem-write-8                                                          38
*mem-read                                                             70
*mem-write                                                            38
*mem                                                                 108
*isa-ext-BASE                                                        410
*isa-set-I186                                                         24
*isa-set-I386                                                         98
*isa-set-I86                                                         288
*category-BINARY                                                     154
*category-CALL                                                        24
*category-COND_BR                                                     64
*category-DATAXFER                                                   126
*category-LOGICAL                                                      4
*category-MISC                                                         2
*category-POP                                                          4
*category-PUSH                                                         4
*category-RET                                                         28
*ilen-1                                                               32
*ilen-2                                                               66
*ilen-3                                                              110
*ilen-4                                                              130
*ilen-5                                                               46
*ilen-6                                                                2
*ilen-7                                                               24
*gpr64                                                               148
*legacy-prefixes-0                                                   170
*legacy-prefixes-1                                                   240
*legacy-prefixes-and-escapes-0                                       130
*legacy-prefixes-and-escapes-1                                       220
*legacy-prefixes-and-escapes-2                                        60
*66_prefix                                                            36
*rex_prefix                                                          204
*rexw_prefix                                                          88
*rexr_prefix                                                         100
*rexb_prefix                                                          70
*loadop                                                               60
*one-memops                                                          108
*cond-branch-forward                                                  40
*cond-branch-backward                                                 24
*base_only                                                            86
*base_disp                                                            22
*scale_1                                                             110
*memdisp8                                                             24
ADD                                                                   28
CALL_NEAR                                                             24
CMP                                                                   62
IMUL                                                                  24
JB                                                                    26
JNB                                                                   24
JNBE                                                                  12
JNZ                                                                    2
LEA                                                                    2
MOV                                                                   28
MOVZX                                                                 98
POP                                                                    4
PUSH                                                                   4
RET_NEAR                                                              28
SUB                                                                   40
TEST                                                                   2
XOR                                                                    2
*total                                                               410
#
# $dynamic-counts-for-function: LocalUnlock  IMG: C:\Windows\system32\KERNELBASE.dll at [0x7fefd581810, 0x7fefd5818b0)   0.101%
#
# TID 1
#       opcode                 count
#
*stack-read                                                           36
*stack-write                                                          84
*iprel-read                                                           72
*iprel-write                                                          48
*mem-read-2                                                           12
*mem-read-8                                                          108
*mem-write-2                                                          12
*mem-write-4                                                          12
*mem-write-8                                                          72
*mem-read                                                            120
*mem-write                                                            96
*mem                                                                 168
*isa-ext-BASE                                                        408
*isa-set-I386                                                         12
*isa-set-I86                                                         396
*category-BINARY                                                      24
*category-CALL                                                        48
*category-COND_BR                                                     48
*category-DATAXFER                                                   108
*category-LOGICAL                                                     72
*category-MISC                                                        36
*category-NOP                                                         12
*category-POP                                                         12
*category-PUSH                                                        12
*category-RET                                                         12
*category-UNCOND_BR                                                   24
*ilen-1                                                               48
*ilen-2                                                               72
*ilen-3                                                               60
*ilen-4                                                               72
*ilen-5                                                               24
*ilen-6                                                               96
*ilen-7                                                               36
*nop-ilen-1                                                           12
*gpr64                                                               192
*legacy-prefixes-0                                                   264
*legacy-prefixes-1                                                   144
*legacy-prefixes-and-escapes-0                                       204
*legacy-prefixes-and-escapes-1                                       204
*66_prefix                                                            36
*rex_prefix                                                          108
*rexw_prefix                                                         108
*loadop                                                               36
*one-memops                                                          120
*two-memops                                                           48
*cond-branch-forward                                                  48
*base_only                                                            36
*base_disp                                                           132
*scale_1                                                             204
*memdisp8                                                             84
*memdisp32                                                            84
ADD                                                                   12
CALL_NEAR                                                             48
JMP                                                                   24
JNZ                                                                   12
JZ                                                                    36
LEA                                                                   36
MOV                                                                   96
MOVZX                                                                 12
NOP                                                                   12
POP                                                                   12
PUSH                                                                  12
RET_NEAR                                                              12
SUB                                                                   12
TEST                                                                  48
XOR                                                                   24
*total                                                               408
#
# $dynamic-counts-for-function: LocalLock  IMG: C:\Windows\system32\KERNELBASE.dll at [0x7fefd581780, 0x7fefd581810)   0.101%
#
# TID 1
#       opcode                 count
#
*stack-read                                                           36
*stack-write                                                          72
*iprel-read                                                           60
*iprel-write                                                          36
*mem-read-2                                                           12
*mem-read-8                                                          108
*mem-write-2                                                          12
*mem-write-8                                                          72
*mem-read                                                            120
*mem-write                                                            84
*mem                                                                 168
*isa-ext-BASE                                                        408
*isa-set-I386                                                         12
*isa-set-I86                                                         396
*category-BINARY                                                      36
*category-CALL                                                        36
*category-COND_BR                                                     48
*category-DATAXFER                                                   132
*category-LOGICAL                                                     48
*category-MISC                                                        36
*category-NOP                                                         12
*category-POP                                                         12
*category-PUSH                                                        12
*category-RET                                                         12
*category-UNCOND_BR                                                   24
*ilen-1                                                               48
*ilen-2                                                               48
*ilen-3                                                               84
*ilen-4                                                               60
*ilen-5                                                               48
*ilen-6                                                               84
*ilen-7                                                               36
*nop-ilen-1                                                           12
*gpr64                                                               228
*legacy-prefixes-0                                                   228
*legacy-prefixes-1                                                   180
*legacy-prefixes-and-escapes-0                                       168
*legacy-prefixes-and-escapes-1                                       240
*66_prefix                                                            24
*rex_prefix                                                          156
*rexw_prefix                                                         156
*loadop                                                               36
*one-memops                                                          132
*two-memops                                                           36
*cond-branch-forward                                                  48
*base_only                                                            48
*base_disp                                                           120
*scale_1                                                             204
*memdisp8                                                             84
*memdisp32                                                            72
ADD                                                                   12
CALL_NEAR                                                             36
CMP                                                                   12
JMP                                                                   24
JZ                                                                    48
LEA                                                                   36
MOV                                                                  120
MOVZX                                                                 12
NOP                                                                   12
POP                                                                   12
PUSH                                                                  12
RET_NEAR                                                              12
SUB                                                                   12
TEST                                                                  36
XOR                                                                   12
*total                                                               408
#
# $dynamic-counts-for-function: ScriptShape  IMG: C:\Windows\system32\USP10.dll at [0x7fefd8a87d0, 0x7fefd8a8a90)   0.101%
#
# TID 1
#       opcode                 count
#
*stack-read                                                           72
*stack-write                                                          88
*mem-read-2                                                            8
*mem-read-4                                                           12
*mem-read-8                                                           84
*mem-write-4                                                          16
*mem-write-8                                                          72
*mem-read                                                            104
*mem-write                                                            88
*mem                                                                 192
*isa-ext-BASE                                                        408
*isa-set-I186                                                          4
*isa-set-I386                                                         16
*isa-set-I86                                                         388
*category-BINARY                                                      28
*category-BITBYTE                                                      4
*category-CALL                                                        12
*category-COND_BR                                                     60
*category-CONVERT                                                      4
*category-DATAXFER                                                   168
*category-LOGICAL                                                     64
*category-POP                                                         28
*category-PUSH                                                        28
*category-RET                                                          4
*category-SHIFT                                                        4
*category-UNCOND_BR                                                    4
*ilen-1                                                               32
*ilen-2                                                              128
*ilen-3                                                               80
*ilen-4                                                               40
*ilen-5                                                               52
*ilen-6                                                                8
*ilen-7                                                               16
*ilen-8                                                               52
*gpr64                                                               212
*legacy-prefixes-0                                                   200
*legacy-prefixes-1                                                   208
*legacy-prefixes-and-escapes-0                                       192
*legacy-prefixes-and-escapes-1                                       212
*legacy-prefixes-and-escapes-2                                         4
*66_prefix                                                             8
*rex_prefix                                                          200
*rexw_prefix                                                         140
*rexr_prefix                                                          72
*rexx_prefix                                                           4
*rexb_prefix                                                          92
*loadop                                                               76
*one-memops                                                          192
*cond-branch-forward                                                  60
*base_only                                                            80
*base_disp                                                           108
*base_index_disp                                                       4
*scale_1                                                             188
*scale_4                                                               4
*memdisp8                                                             56
*memdisp32                                                            56
*convert_i32_1                                                         4
ADD                                                                    8
AND                                                                   20
BT                                                                     4
CALL_NEAR                                                             12
CDQ                                                                    4
CMP                                                                   12
JMP                                                                    4
JNB                                                                    4
JNBE                                                                   4
JNL                                                                    4
JNLE                                                                   8
JNS                                                                    4
JNZ                                                                    4
JZ                                                                    32
MOV                                                                  160
MOVZX                                                                  8
POP                                                                   28
PUSH                                                                  28
RET_NEAR                                                               4
SHR                                                                    4
SUB                                                                    8
TEST                                                                  44
*total                                                               408
#
# $dynamic-counts-for-function: IsThemePartDefined  IMG: C:\Windows\system32\uxtheme.dll at [0x7fefba9ac40, 0x7fefba9bbc0)   0.098%
#
# TID 1
#       opcode                 count
#
*mem-atomic                                                            6
*stack-read                                                           40
*stack-write                                                          58
*iprel-read                                                           19
*iprel-write                                                          15
*mem-read-4                                                           10
*mem-read-8                                                           97
*mem-write-4                                                           6
*mem-write-8                                                          72
*mem-read                                                            107
*mem-write                                                            78
*mem                                                                 162
*isa-ext-BASE                                                        397
*isa-set-I486REAL                                                      3
*isa-set-I86                                                         394
*category-BINARY                                                      57
*category-CALL                                                        29
*category-COND_BR                                                     65
*category-DATAXFER                                                   121
*category-LOGICAL                                                     67
*category-MISC                                                         5
*category-NOP                                                          2
*category-POP                                                         15
*category-PUSH                                                        15
*category-RET                                                         11
*category-SEMAPHORE                                                    3
*category-UNCOND_BR                                                    7
*ilen-1                                                               37
*ilen-2                                                               54
*ilen-3                                                               87
*ilen-4                                                               62
*ilen-5                                                               64
*ilen-6                                                               57
*ilen-7                                                               25
*ilen-8                                                                8
*ilen-9                                                                3
*nop-ilen-1                                                            2
*gpr64                                                               270
*legacy-prefixes-0                                                   180
*legacy-prefixes-1                                                   214
*legacy-prefixes-2                                                     3
*legacy-prefixes-and-escapes-0                                       134
*legacy-prefixes-and-escapes-1                                       260
*legacy-prefixes-and-escapes-3                                         3
*lock_prefix                                                           5
*rex_prefix                                                          215
*rexw_prefix                                                         200
*rexr_prefix                                                          10
*rexb_prefix                                                           9
*loadop                                                               84
*one-memops                                                          155
*two-memops                                                            7
*cond-branch-forward                                                  50
*cond-branch-backward                                                 15
*base_only                                                            73
*base_disp                                                            89
*scale_1                                                             167
*memdisp8                                                             49
*memdisp32                                                            45
ADD                                                                   22
ADD_LOCK                                                               2
AND                                                                   10
CALL_NEAR                                                             29
CMP                                                                   13
CMPXCHG_LOCK                                                           3
JLE                                                                    1
JMP                                                                    7
JNB                                                                    1
JNZ                                                                   45
JZ                                                                    18
LEA                                                                    5
MOV                                                                  120
NOP                                                                    2
POP                                                                   15
PUSH                                                                  15
RET_NEAR                                                              11
SUB                                                                   20
TEST                                                                  41
